AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,ANNUAL_MILEAGE,VEHICLE_TYPE
40-64,female,20-29y,none,middle class,,before 2015,12000.0,sedan
40-64,male,20-29y,none,upper class,5.775.510.940.556.190,before 2015,13000.0,sedan
26-39,female,0-9y,none,working class,521.871.913.434.752,before 2015,14000.0,sedan
16-25,male,0-9y,high school,poverty,4.016.022.303.600.120,before 2015,8000.0,sedan
40-64,female,20-29y,university,upper class,5.030.899.604.313.630,after 2015,16000.0,sports car
40-64,female,0-9y,university,upper class,6.262.972.030.099.250,before 2015,19000.0,sedan
26-39,female,10-19y,high school,middle class,486.775.921.157.441,after 2015,11000.0,sedan
26-39,male,10-19y,high school,upper class,6.159.765.127.811.400,before 2015,7000.0,sedan
26-39,female,10-19y,high school,middle class,5.175.717.109.221.080,after 2015,13000.0,sedan
16-25,male,0-9y,university,middle class,5.771.463.962.537.060,before 2015,11000.0,sedan
16-25,female,0-9y,high school,upper class,5.063.018.993.150.040,before 2015,12000.0,sedan
26-39,male,10-19y,high school,working class,3.947.155.816.821.040,after 2015,11000.0,sports car
65+,female,30y+,university,upper class,5.622.345.561.977.900,after 2015,9000.0,sedan
26-39,female,10-19y,university,working class,,before 2015,13000.0,sedan
26-39,female,10-19y,high school,poverty,3.759.554.170.653.630,before 2015,,sedan
40-64,male,20-29y,high school,upper class,4.806.646.301.272.010,before 2015,9000.0,sedan
26-39,male,10-19y,high school,middle class,4.449.273.621.925.880,before 2015,16000.0,sedan
65+,female,0-9y,university,upper class,7.747.865.903.240.700,after 2015,11000.0,sedan
65+,male,30y+,university,upper class,5.675.263.030.815.500,before 2015,15000.0,sedan
16-25,female,0-9y,high school,poverty,20.841.066.941.898.600,before 2015,8000.0,sedan
65+,female,30y+,university,upper class,4.863.588.679.278.370,after 2015,12000.0,sedan
40-64,female,20-29y,none,middle class,3.715.929.512.772.000,after 2015,6000.0,sedan
40-64,female,20-29y,high school,working class,43.801.038.417.721.600,after 2015,13000.0,sedan
26-39,female,10-19y,university,working class,3.900.112.191.131.230,before 2015,19000.0,sedan
16-25,female,0-9y,none,poverty,3.307.771.935.047.660,before 2015,13000.0,sedan
40-64,female,0-9y,high school,upper class,5.889.931.124.102.490,before 2015,,sedan
26-39,male,0-9y,high school,poverty,3.474.920.500.454.460,before 2015,13000.0,sedan
26-39,female,10-19y,none,poverty,2.728.793.486.098.330,before 2015,16000.0,sedan
65+,female,30y+,university,upper class,6.277.455.897.894.000,before 2015,12000.0,sedan
26-39,female,10-19y,university,working class,3.617.024.291.111.730,before 2015,10000.0,sedan
40-64,female,20-29y,university,upper class,5.459.056.295.140.900,after 2015,,sedan
16-25,female,0-9y,none,poverty,4.080.435.066.664.740,before 2015,15000.0,sedan
65+,male,30y+,university,upper class,4.758.758.960.926.590,after 2015,7000.0,sedan
16-25,male,0-9y,high school,middle class,5.774.751.971.489.300,before 2015,10000.0,sedan
16-25,male,0-9y,university,poverty,4.310.793.336.400.160,before 2015,,sedan
16-25,male,0-9y,university,working class,4.760.320.342.290.610,before 2015,13000.0,sedan
65+,male,30y+,university,upper class,5.491.357.167.304.320,before 2015,12000.0,sedan
65+,male,20-29y,university,upper class,5.680.748.381.791.340,after 2015,12000.0,sedan
40-64,female,20-29y,none,working class,,before 2015,12000.0,sedan
40-64,female,20-29y,university,upper class,6.046.764.589.038.500,before 2015,12000.0,sedan
40-64,female,20-29y,university,upper class,6.041.445.863.011.610,before 2015,11000.0,sedan
26-39,female,10-19y,high school,middle class,4.702.835.467.593.460,after 2015,5000.0,sedan
26-39,female,10-19y,none,poverty,3.440.723.769.349.510,before 2015,15000.0,sedan
26-39,female,10-19y,high school,middle class,6.037.817.692.518.090,before 2015,15000.0,sedan
26-39,male,0-9y,high school,upper class,4.923.186.089.785.150,before 2015,10000.0,sedan
40-64,female,20-29y,university,upper class,6.218.943.396.286.830,after 2015,,sedan
26-39,male,10-19y,none,working class,3.746.378.693.906.270,before 2015,15000.0,sedan
26-39,male,10-19y,high school,middle class,427.270.927.766.737,after 2015,,sedan
16-25,female,0-9y,none,poverty,15.297.216.022.556.900,before 2015,10000.0,sedan
26-39,female,10-19y,none,working class,4.217.496.501.415.930,before 2015,,sedan
40-64,male,0-9y,university,upper class,4.897.229.839.220.260,after 2015,12000.0,sedan
16-25,male,0-9y,high school,working class,,before 2015,7000.0,sedan
40-64,female,10-19y,none,middle class,5.608.112.658.852.710,before 2015,14000.0,sedan
40-64,female,20-29y,university,middle class,5.039.832.951.594.880,before 2015,16000.0,sedan
16-25,male,0-9y,university,poverty,3.680.826.213.706.060,before 2015,15000.0,sports car
65+,male,30y+,university,upper class,5.838.715.347.636.920,before 2015,12000.0,sedan
26-39,female,0-9y,high school,upper class,4.225.791.031.356.810,before 2015,,sedan
16-25,male,0-9y,university,middle class,7.144.958.954.967.010,after 2015,14000.0,sedan
40-64,female,20-29y,none,middle class,603.331.247.395.733,before 2015,,sedan
26-39,female,0-9y,none,poverty,5.696.455.478.207.950,before 2015,12000.0,sedan
26-39,female,0-9y,high school,middle class,4.133.785.303.647.330,before 2015,,sedan
16-25,female,0-9y,university,poverty,35.492.889.731.913.200,before 2015,12000.0,sedan
40-64,male,20-29y,none,working class,5.815.890.954.464.890,before 2015,18000.0,sedan
16-25,female,0-9y,high school,middle class,6.492.978.771.832.140,before 2015,11000.0,sedan
26-39,male,0-9y,university,upper class,6.888.318.025.432.290,after 2015,13000.0,sedan
65+,female,30y+,university,middle class,4.231.474.869.179.080,after 2015,10000.0,sedan
40-64,male,0-9y,university,middle class,5.238.112.936.991.060,before 2015,10000.0,sedan
65+,female,30y+,university,upper class,7.469.425.181.105.060,before 2015,10000.0,sedan
40-64,male,10-19y,high school,middle class,3.848.447.185.014.990,before 2015,12000.0,sedan
40-64,female,10-19y,none,poverty,,before 2015,5000.0,sedan
40-64,male,20-29y,university,upper class,5.992.892.337.813.940,after 2015,14000.0,sedan
40-64,male,20-29y,none,poverty,2.467.491.275.258.390,before 2015,13000.0,sedan
65+,female,30y+,university,upper class,4.869.348.894.960.010,before 2015,12000.0,sedan
65+,male,30y+,university,upper class,6.970.364.930.585.550,after 2015,11000.0,sedan
40-64,male,20-29y,university,middle class,5.640.568.762.707.180,before 2015,10000.0,sedan
40-64,female,0-9y,high school,upper class,6.686.845.608.481.440,before 2015,8000.0,sedan
16-25,male,0-9y,high school,poverty,,before 2015,7000.0,sedan
65+,female,30y+,high school,upper class,7.909.562.645.886.890,before 2015,13000.0,sedan
16-25,male,0-9y,high school,poverty,2.474.110.447.110.300,before 2015,11000.0,sedan
26-39,female,0-9y,none,middle class,6.723.865.152.562.400,before 2015,15000.0,sedan
65+,male,0-9y,university,upper class,,after 2015,13000.0,sedan
16-25,female,0-9y,high school,middle class,33.528.313.606.239.600,before 2015,14000.0,sedan
40-64,female,20-29y,high school,middle class,5.672.553.074.796.410,before 2015,9000.0,sedan
26-39,male,10-19y,university,middle class,5.281.550.824.018.100,after 2015,8000.0,sedan
65+,female,30y+,high school,middle class,6.183.782.575.872.000,before 2015,11000.0,sedan
40-64,female,20-29y,none,middle class,5.384.105.309.342.710,before 2015,,sedan
65+,male,20-29y,high school,upper class,6.093.146.350.878.070,before 2015,4000.0,sedan
65+,male,30y+,none,upper class,6.652.789.616.494.300,after 2015,15000.0,sedan
16-25,male,0-9y,none,working class,557.150.249.939.646,before 2015,12000.0,sedan
65+,female,20-29y,high school,upper class,5.952.325.907.713.840,after 2015,11000.0,sedan
40-64,male,20-29y,high school,upper class,7.065.178.185.585.050,before 2015,11000.0,sedan
40-64,male,10-19y,university,upper class,5.224.994.188.821.980,after 2015,16000.0,sedan
65+,male,30y+,high school,upper class,,after 2015,7000.0,sedan
26-39,female,10-19y,high school,middle class,5.887.079.919.316.780,before 2015,16000.0,sports car
16-25,female,0-9y,none,poverty,3.061.509.687.966.840,after 2015,15000.0,sedan
65+,male,20-29y,high school,upper class,6.008.357.672.813.950,after 2015,7000.0,sedan
65+,male,10-19y,high school,upper class,633.403.473.578.646,after 2015,9000.0,sedan
16-25,female,0-9y,high school,poverty,,before 2015,,sedan
26-39,male,10-19y,high school,working class,4.163.255.994.421.630,before 2015,12000.0,sedan
40-64,female,0-9y,university,upper class,6.760.102.629.446.960,before 2015,8000.0,sedan
40-64,male,20-29y,high school,working class,2.727.052.692.646.900,before 2015,10000.0,sedan
65+,female,30y+,university,upper class,6.626.210.554.046.520,after 2015,11000.0,sedan
40-64,male,20-29y,university,working class,4.401.833.388.463.450,after 2015,12000.0,sports car
26-39,female,10-19y,high school,working class,5.241.410.821.408.380,after 2015,12000.0,sedan
40-64,female,10-19y,university,middle class,44.131.401.982.122.800,before 2015,10000.0,sports car
40-64,male,10-19y,high school,upper class,6.820.575.427.391.670,before 2015,10000.0,sedan
40-64,male,20-29y,university,upper class,6.974.620.125.004.260,after 2015,13000.0,sedan
40-64,female,20-29y,none,middle class,6.514.572.449.171.820,after 2015,8000.0,sedan
65+,male,20-29y,university,upper class,,after 2015,,sedan
65+,female,30y+,high school,upper class,6.063.735.697.487.100,before 2015,7000.0,sedan
26-39,male,0-9y,high school,working class,3.316.889.107.339.180,before 2015,16000.0,sedan
65+,female,10-19y,university,upper class,,after 2015,,sports car
16-25,female,0-9y,high school,poverty,3.093.306.042.396.640,before 2015,6000.0,sedan
26-39,female,10-19y,university,middle class,,before 2015,12000.0,sports car
65+,male,30y+,university,upper class,6.370.954.701.874.270,before 2015,12000.0,sedan
40-64,female,10-19y,high school,working class,4.149.098.004.859.210,before 2015,10000.0,sedan
40-64,male,0-9y,high school,working class,43.741.683.459.488.500,before 2015,,sedan
26-39,female,0-9y,high school,upper class,5.317.340.905.527.370,before 2015,14000.0,sedan
26-39,male,10-19y,none,poverty,4.645.345.001.201.630,before 2015,,sedan
40-64,male,20-29y,university,upper class,5.626.535.000.207.480,before 2015,8000.0,sedan
65+,male,10-19y,university,upper class,6.146.903.887.940.320,after 2015,,sedan
16-25,female,0-9y,none,poverty,2.862.044.072.032.200,before 2015,16000.0,sedan
40-64,male,0-9y,university,upper class,5.872.814.257.214.410,before 2015,11000.0,sedan
65+,female,20-29y,university,upper class,5.024.037.809.342.220,after 2015,16000.0,sedan
26-39,male,10-19y,university,upper class,5.029.442.922.316.360,before 2015,13000.0,sedan
65+,female,0-9y,none,working class,3.922.141.519.632.880,before 2015,12000.0,sedan
16-25,female,0-9y,high school,working class,,before 2015,14000.0,sedan
65+,male,30y+,high school,working class,3.760.768.567.967.880,before 2015,10000.0,sedan
16-25,male,0-9y,university,middle class,4.671.006.006.948.020,before 2015,,sedan
40-64,female,20-29y,none,middle class,7.942.433.982.554.460,after 2015,11000.0,sedan
65+,male,30y+,university,upper class,6.052.753.027.995.030,before 2015,12000.0,sedan
40-64,male,20-29y,high school,working class,4.141.337.699.932.350,before 2015,7000.0,sedan
16-25,male,0-9y,university,middle class,,before 2015,12000.0,sedan
40-64,male,20-29y,high school,middle class,4.874.581.980.124.110,before 2015,12000.0,sedan
40-64,male,10-19y,university,upper class,6.398.662.739.569.250,before 2015,8000.0,sedan
65+,male,10-19y,university,upper class,,before 2015,10000.0,sedan
16-25,female,0-9y,none,poverty,2.549.076.832.707.480,before 2015,12000.0,sedan
26-39,male,10-19y,high school,working class,34.954.466.274.249.800,before 2015,14000.0,sedan
26-39,female,10-19y,university,working class,5.032.346.205.187.040,after 2015,10000.0,sedan
26-39,male,10-19y,high school,middle class,589.882.191.368.374,before 2015,17000.0,sedan
65+,male,0-9y,high school,upper class,7.164.447.863.616.130,before 2015,11000.0,sedan
65+,female,20-29y,university,upper class,7.122.395.503.644.000,after 2015,16000.0,sedan
65+,female,0-9y,high school,upper class,6.605.664.252.234.270,after 2015,14000.0,sedan
65+,female,0-9y,none,upper class,7.575.663.430.503.000,after 2015,,sedan
40-64,female,20-29y,none,working class,3.111.102.411.897.750,before 2015,13000.0,sports car
26-39,female,10-19y,university,middle class,,before 2015,13000.0,sedan
65+,female,30y+,none,middle class,5.391.057.765.310.120,after 2015,12000.0,sedan
65+,female,30y+,high school,upper class,5.866.314.851.117.090,before 2015,11000.0,sports car
65+,female,0-9y,university,upper class,5.657.453.486.871.820,before 2015,11000.0,sedan
65+,male,30y+,university,upper class,6.098.980.465.197.520,before 2015,,sedan
26-39,female,10-19y,none,poverty,24.921.009.633.158.400,before 2015,13000.0,sedan
16-25,female,0-9y,none,poverty,2.645.194.364.479.900,before 2015,12000.0,sedan
26-39,male,0-9y,university,middle class,4.431.951.721.175.770,before 2015,15000.0,sedan
40-64,female,0-9y,university,upper class,6.139.904.180.356.010,after 2015,12000.0,sedan
40-64,male,10-19y,high school,working class,6.904.985.798.920.930,before 2015,10000.0,sedan
40-64,female,20-29y,university,upper class,5.519.738.040.203.220,before 2015,10000.0,sedan
65+,male,30y+,high school,upper class,5.150.779.278.972.590,after 2015,11000.0,sedan
40-64,male,10-19y,university,middle class,5.599.870.637.233.460,before 2015,8000.0,sedan
26-39,male,10-19y,university,upper class,6.253.193.560.441.780,before 2015,15000.0,sedan
40-64,male,0-9y,university,upper class,6.233.138.220.916.100,after 2015,17000.0,sports car
16-25,female,0-9y,high school,poverty,448.643.577.209.834,after 2015,,sedan
16-25,male,0-9y,high school,upper class,5.066.478.748.732.990,before 2015,17000.0,sedan
65+,male,0-9y,university,upper class,5.659.067.951.087.420,before 2015,9000.0,sedan
16-25,female,0-9y,none,poverty,5.393.224.217.499.230,before 2015,15000.0,sedan
65+,female,30y+,high school,upper class,6.520.665.505.738.690,after 2015,15000.0,sedan
16-25,male,0-9y,none,poverty,3.105.687.885.204.080,before 2015,17000.0,sedan
40-64,female,20-29y,high school,middle class,,before 2015,14000.0,sedan
16-25,female,0-9y,high school,poverty,4.340.024.402.049.850,before 2015,12000.0,sedan
26-39,male,0-9y,university,upper class,4.401.954.791.282.700,before 2015,11000.0,sedan
16-25,female,0-9y,high school,middle class,5.489.695.085.571.680,after 2015,11000.0,sedan
40-64,female,20-29y,high school,working class,5.728.451.330.215.470,before 2015,14000.0,sports car
65+,male,0-9y,university,upper class,7.308.655.361.413.350,after 2015,9000.0,sedan
40-64,male,20-29y,university,upper class,7.508.195.874.354.710,before 2015,4000.0,sedan
26-39,male,10-19y,none,poverty,22.764.808.809.354.300,before 2015,12000.0,sedan
65+,male,10-19y,none,upper class,680.801.232.234.834,before 2015,9000.0,sedan
26-39,male,0-9y,high school,upper class,4.996.602.604.706.930,after 2015,7000.0,sedan
65+,female,0-9y,high school,upper class,,after 2015,7000.0,sedan
26-39,male,0-9y,high school,upper class,4.469.435.281.716.220,before 2015,11000.0,sedan
26-39,male,10-19y,high school,middle class,6.078.036.995.033.180,after 2015,12000.0,sedan
40-64,male,20-29y,university,upper class,6.051.532.270.537.230,before 2015,,sedan
26-39,female,10-19y,high school,poverty,3.163.694.393.923.690,before 2015,15000.0,sedan
65+,male,30y+,high school,upper class,5.426.244.160.681.950,before 2015,11000.0,sedan
26-39,male,10-19y,university,upper class,7.182.444.310.315.160,before 2015,10000.0,sedan
16-25,female,0-9y,university,middle class,6.809.116.929.366.060,after 2015,10000.0,sedan
40-64,female,0-9y,none,working class,4.818.636.843.468.430,before 2015,13000.0,sedan
26-39,female,0-9y,high school,working class,4.539.321.185.254.520,before 2015,9000.0,sports car
26-39,female,10-19y,none,working class,4.328.418.893.662.010,before 2015,8000.0,sedan
26-39,male,10-19y,university,upper class,5.381.973.821.644.310,before 2015,15000.0,sedan
26-39,female,10-19y,high school,poverty,4.776.699.106.023.110,before 2015,13000.0,sedan
26-39,male,10-19y,university,working class,,before 2015,12000.0,sedan
26-39,female,0-9y,high school,upper class,5.972.183.276.616.230,after 2015,15000.0,sedan
40-64,female,20-29y,none,middle class,5.434.086.774.169.470,after 2015,13000.0,sedan
26-39,male,10-19y,high school,upper class,5.879.638.795.165.840,before 2015,12000.0,sedan
26-39,male,10-19y,high school,middle class,5.559.535.570.676.700,after 2015,11000.0,sedan
26-39,male,0-9y,high school,working class,4.257.869.067.192.910,after 2015,13000.0,sedan
26-39,male,0-9y,university,middle class,6.206.647.516.894.620,after 2015,13000.0,sedan
65+,male,30y+,university,upper class,3.894.266.905.483.990,before 2015,12000.0,sedan
16-25,male,0-9y,high school,poverty,4.376.610.934.796.090,before 2015,7000.0,sedan
26-39,female,0-9y,high school,middle class,5.749.370.954.399.270,after 2015,10000.0,sedan
16-25,female,0-9y,high school,poverty,30.810.369.768.686.900,after 2015,,sedan
65+,male,20-29y,university,upper class,7.097.590.437.116.950,before 2015,9000.0,sedan
26-39,male,10-19y,high school,working class,,after 2015,14000.0,sedan
26-39,male,10-19y,university,upper class,7.508.134.369.901.280,after 2015,14000.0,sedan
26-39,female,10-19y,none,poverty,4.741.201.321.807.360,before 2015,12000.0,sedan
26-39,male,10-19y,university,middle class,5.202.419.562.823.010,before 2015,11000.0,sedan
40-64,male,20-29y,high school,poverty,2.423.059.228.432.950,before 2015,15000.0,sedan
16-25,male,0-9y,high school,middle class,4.810.175.585.638.770,before 2015,13000.0,sedan
26-39,male,0-9y,university,working class,25.009.170.225.723.500,before 2015,16000.0,sedan
40-64,male,20-29y,university,upper class,5.636.540.752.380.530,after 2015,8000.0,sports car
65+,male,30y+,university,middle class,5.476.628.583.971.520,after 2015,6000.0,sedan
40-64,male,20-29y,university,middle class,5.390.231.589.058.750,after 2015,14000.0,sedan
65+,female,10-19y,university,upper class,5.249.004.670.059.860,before 2015,,sedan
26-39,female,10-19y,high school,middle class,4.711.356.183.608.620,before 2015,12000.0,sedan
40-64,female,20-29y,university,upper class,,after 2015,6000.0,sedan
65+,female,30y+,high school,middle class,5.117.586.505.444.630,before 2015,10000.0,sedan
65+,female,20-29y,high school,middle class,5.228.001.606.856.790,after 2015,13000.0,sedan
65+,male,0-9y,university,upper class,4.990.552.402.742.980,before 2015,11000.0,sedan
16-25,male,0-9y,high school,middle class,5.687.974.266.135.230,before 2015,12000.0,sedan
40-64,female,10-19y,university,upper class,7.697.060.280.613.080,before 2015,15000.0,sedan
26-39,female,0-9y,none,working class,37.524.823.407.037.100,before 2015,13000.0,sedan
26-39,female,0-9y,university,upper class,,before 2015,10000.0,sports car
16-25,male,0-9y,high school,poverty,2.756.617.672.600.430,before 2015,,sedan
40-64,female,0-9y,high school,upper class,4.680.045.782.114.700,before 2015,7000.0,sedan
65+,female,10-19y,university,upper class,6.455.861.279.190.650,after 2015,11000.0,sedan
40-64,female,0-9y,high school,working class,3.260.329.842.745.460,after 2015,11000.0,sedan
65+,female,20-29y,high school,upper class,6.519.143.421.966.000,before 2015,8000.0,sedan
65+,female,30y+,high school,upper class,5.066.846.105.467.230,before 2015,9000.0,sedan
40-64,female,20-29y,university,upper class,5.638.124.626.423.420,before 2015,13000.0,sedan
40-64,male,20-29y,university,upper class,7.510.668.440.453.710,before 2015,9000.0,sports car
26-39,female,0-9y,high school,working class,3.987.313.542.454.150,before 2015,12000.0,sedan
26-39,female,10-19y,high school,poverty,,before 2015,12000.0,sedan
40-64,male,20-29y,high school,middle class,,before 2015,4000.0,sedan
26-39,male,0-9y,none,poverty,43.440.168.031.207.400,before 2015,15000.0,sedan
16-25,female,0-9y,high school,working class,5.092.381.076.694.250,after 2015,,sedan
40-64,male,20-29y,university,middle class,33.088.724.722.065.800,before 2015,11000.0,sedan
65+,female,30y+,university,upper class,,before 2015,10000.0,sedan
26-39,male,10-19y,none,poverty,29.182.903.299.094.300,before 2015,10000.0,sedan
40-64,female,10-19y,high school,middle class,5.779.891.114.550.820,before 2015,13000.0,sedan
16-25,male,0-9y,university,working class,5.251.503.019.981.200,before 2015,8000.0,sedan
40-64,male,20-29y,high school,middle class,7.087.716.412.836.730,after 2015,13000.0,sedan
26-39,female,0-9y,high school,upper class,677.983.680.244.089,after 2015,15000.0,sedan
65+,male,30y+,high school,middle class,5.998.608.909.858.040,after 2015,8000.0,sedan
65+,male,20-29y,university,upper class,556.821.529.947.094,after 2015,8000.0,sedan
16-25,male,0-9y,none,poverty,30.073.654.086.150.500,before 2015,15000.0,sedan
26-39,female,10-19y,none,poverty,42.170.832.564.546.300,before 2015,17000.0,sedan
65+,female,20-29y,university,upper class,5.172.578.396.228.400,before 2015,13000.0,sedan
40-64,male,20-29y,university,upper class,,after 2015,12000.0,sedan
26-39,female,0-9y,university,working class,38.786.746.741.906.100,before 2015,9000.0,sedan
26-39,female,10-19y,university,upper class,7.017.635.342.356.810,before 2015,8000.0,sedan
65+,male,30y+,high school,upper class,5.548.553.575.919.060,after 2015,13000.0,sedan
26-39,male,10-19y,university,upper class,4.996.337.688.660.020,after 2015,,sedan
16-25,female,0-9y,high school,poverty,,before 2015,15000.0,sedan
16-25,male,0-9y,high school,working class,3.800.621.432.836.770,before 2015,16000.0,sedan
40-64,male,20-29y,university,middle class,6.012.904.659.428.770,before 2015,9000.0,sedan
40-64,female,0-9y,university,upper class,4.953.679.770.062.500,before 2015,8000.0,sedan
26-39,female,0-9y,high school,working class,4.786.910.984.227.910,before 2015,16000.0,sedan
40-64,male,20-29y,high school,middle class,4.042.843.675.661.330,before 2015,13000.0,sedan
26-39,male,10-19y,none,working class,3.780.463.794.716.410,after 2015,13000.0,sedan
40-64,female,20-29y,high school,upper class,6.638.339.947.593.960,before 2015,19000.0,sedan
40-64,female,0-9y,university,middle class,,before 2015,11000.0,sedan
65+,female,0-9y,high school,upper class,5.614.622.301.842.250,after 2015,4000.0,sedan
26-39,female,10-19y,university,working class,2.772.801.448.497.200,before 2015,16000.0,sedan
65+,female,30y+,university,upper class,6.819.567.520.526.450,after 2015,11000.0,sedan
40-64,male,20-29y,university,middle class,4.731.435.806.442.580,before 2015,10000.0,sedan
16-25,female,0-9y,none,poverty,4.842.043.342.946.760,before 2015,12000.0,sedan
40-64,female,10-19y,none,middle class,5.898.164.523.944.220,before 2015,12000.0,sedan
26-39,male,10-19y,university,upper class,6.049.537.979.222.090,after 2015,14000.0,sedan
26-39,female,10-19y,none,working class,5.730.281.678.609.510,before 2015,,sedan
26-39,female,10-19y,none,working class,3.652.866.357.527.690,after 2015,12000.0,sedan
16-25,female,0-9y,none,poverty,3.194.764.685.184.570,before 2015,,sedan
26-39,male,10-19y,high school,middle class,7.217.552.349.986.470,after 2015,10000.0,sedan
26-39,male,10-19y,university,middle class,4.180.787.844.444.570,after 2015,12000.0,sedan
65+,male,0-9y,high school,upper class,7.115.976.581.733.660,before 2015,6000.0,sedan
40-64,female,20-29y,high school,middle class,6.338.844.050.411.870,after 2015,11000.0,sedan
40-64,male,20-29y,university,upper class,526.146.302.587.633,before 2015,6000.0,sedan
65+,male,30y+,university,upper class,5.896.219.886.541.010,after 2015,12000.0,sedan
40-64,female,0-9y,high school,working class,3.933.243.530.697.770,before 2015,12000.0,sedan
26-39,female,0-9y,university,middle class,5.180.666.014.945.220,before 2015,13000.0,sedan
16-25,female,0-9y,none,working class,3.575.458.646.951.540,before 2015,7000.0,sedan
16-25,male,0-9y,university,working class,412.721.534.132.624,before 2015,12000.0,sedan
40-64,female,0-9y,none,middle class,4.901.743.887.596.550,before 2015,11000.0,sedan
26-39,female,0-9y,high school,poverty,3.642.432.277.883.200,after 2015,14000.0,sedan
16-25,male,0-9y,none,poverty,32.727.333.452.135.300,after 2015,16000.0,sedan
40-64,male,10-19y,university,upper class,7.219.915.295.214.290,before 2015,11000.0,sedan
26-39,female,10-19y,high school,working class,,after 2015,,sedan
40-64,female,20-29y,university,upper class,6.877.053.104.767.940,after 2015,9000.0,sedan
40-64,male,20-29y,high school,middle class,6.054.595.518.727.770,before 2015,,sedan
40-64,male,20-29y,high school,middle class,5.701.658.701.665.710,before 2015,18000.0,sedan
26-39,female,10-19y,high school,working class,31.487.972.895.710.100,before 2015,11000.0,sedan
16-25,female,0-9y,high school,poverty,5.103.579.543.132.790,before 2015,14000.0,sedan
65+,female,30y+,university,middle class,6.415.992.914.644.380,before 2015,13000.0,sedan
40-64,male,10-19y,university,middle class,,before 2015,10000.0,sedan
65+,male,30y+,high school,middle class,,before 2015,11000.0,sedan
16-25,male,0-9y,university,working class,4.728.359.811.445.900,before 2015,13000.0,sedan
16-25,male,0-9y,university,middle class,5.975.814.142.184.750,after 2015,11000.0,sedan
65+,male,30y+,high school,middle class,5.384.399.329.851.920,before 2015,11000.0,sedan
65+,female,30y+,high school,upper class,6.061.070.639.429.450,after 2015,12000.0,sedan
40-64,male,20-29y,university,upper class,3.451.830.367.277.070,after 2015,15000.0,sedan
26-39,male,0-9y,university,middle class,,after 2015,15000.0,sedan
26-39,female,10-19y,high school,upper class,5.446.454.504.752.830,before 2015,,sedan
65+,female,10-19y,university,upper class,5.812.195.904.222.600,before 2015,9000.0,sedan
26-39,female,10-19y,high school,poverty,332.932.445.645.567,before 2015,12000.0,sedan
26-39,female,0-9y,high school,middle class,5.269.725.998.709.880,before 2015,9000.0,sedan
40-64,female,0-9y,none,working class,4.958.652.916.452.250,after 2015,13000.0,sedan
26-39,male,10-19y,none,poverty,3.216.412.224.769.520,before 2015,10000.0,sedan
40-64,female,20-29y,high school,working class,4.807.836.318.448.820,before 2015,,sedan
65+,female,30y+,high school,upper class,5.861.296.763.368.550,after 2015,10000.0,sedan
26-39,male,10-19y,university,working class,4.563.629.649.443.300,before 2015,9000.0,sedan
65+,female,30y+,university,upper class,6.034.148.000.738.240,before 2015,5000.0,sedan
16-25,male,0-9y,high school,poverty,2.510.366.998.612.600,before 2015,14000.0,sedan
16-25,female,0-9y,none,poverty,3.510.593.815.269.540,after 2015,16000.0,sedan
65+,female,10-19y,high school,middle class,40.179.181.693.094.500,before 2015,11000.0,sedan
40-64,female,0-9y,university,upper class,4.629.179.029.369.280,before 2015,13000.0,sedan
16-25,female,0-9y,high school,middle class,584.410.230.882.218,before 2015,14000.0,sedan
40-64,male,10-19y,university,upper class,6.621.741.504.322.490,after 2015,13000.0,sedan
26-39,female,10-19y,university,upper class,6.868.096.809.121.420,before 2015,10000.0,sedan
16-25,female,0-9y,none,poverty,4.440.054.619.901.430,before 2015,16000.0,sedan
65+,female,30y+,high school,upper class,7.837.306.862.364.170,before 2015,8000.0,sedan
40-64,female,20-29y,none,middle class,4.060.931.476.593.950,before 2015,14000.0,sedan
40-64,male,20-29y,high school,working class,,before 2015,12000.0,sedan
40-64,female,20-29y,high school,working class,,after 2015,12000.0,sedan
26-39,male,10-19y,university,upper class,,after 2015,11000.0,sedan
26-39,female,10-19y,none,working class,5.103.828.246.087.650,before 2015,8000.0,sedan
40-64,female,20-29y,high school,upper class,6.641.141.721.366.360,before 2015,8000.0,sedan
65+,female,30y+,high school,middle class,4.676.528.882.912.080,after 2015,11000.0,sedan
26-39,male,10-19y,high school,middle class,4.100.668.478.943.090,before 2015,12000.0,sedan
16-25,female,0-9y,high school,poverty,16.940.655.309.703.700,before 2015,14000.0,sedan
40-64,male,20-29y,university,upper class,7.538.549.039.843.240,after 2015,12000.0,sedan
65+,female,30y+,high school,upper class,708.984.110.429.289,before 2015,12000.0,sedan
65+,male,20-29y,high school,working class,3.140.366.583.099.790,before 2015,13000.0,sports car
26-39,male,0-9y,university,upper class,4.456.374.212.438.530,before 2015,15000.0,sedan
65+,male,20-29y,university,upper class,538.423.701.629.647,before 2015,12000.0,sedan
26-39,female,10-19y,high school,upper class,6.800.632.519.161.520,before 2015,12000.0,sedan
65+,female,30y+,high school,upper class,6.252.551.047.182.720,after 2015,5000.0,sedan
26-39,female,10-19y,high school,middle class,5.789.086.394.845.910,before 2015,9000.0,sports car
26-39,female,0-9y,none,working class,4.905.686.431.114.040,before 2015,13000.0,sedan
40-64,female,20-29y,university,upper class,7.235.892.424.829.730,after 2015,12000.0,sedan
